username,reposted_username
Returned_Jedi,liputan6dotcom
Standupindo,StandUpIndo_JBR
toranaga3000,liputan6dotcom
EkoGesto,Jurnalpatroli_
RickyNSas,liputan6dotcom
UtomoFreddy,liputan6dotcom
s3ptawir4,liputan6dotcom
Muslim_AntiPKI9,liputan6dotcom
imutimutmu,liputan6dotcom
DinarEdie,liputan6dotcom
Ahmadwafqi1,liputan6dotcom
DatuMataya,liputan6dotcom
gundahku,muhammadiyah
aneukbiroe,liputan6dotcom
iim666,liputan6dotcom
dalangdigital,liputan6dotcom
matamalukucom,dms_ambon
Info_Ambon1,dms_ambon
akunsudi,liputan6dotcom
msaid_didu,liputan6dotcom
KaryoPahing,liputan6dotcom
safiiimhmmd,temponewsroom
lebahtangkai,temponewsroom
SikkaNtt,kompascom
Ariansyah1222,Ariansyah1222
veraagustian_,HumasPoldaJatim
jauhar_fikri,Metro_TV
fxnetizen,tempodotco
totoksuyoto1,HumasPoldaJatim
vivi_mey,Metro_TV
ryolandafit,Metro_TV
rhyoz,tempodotco
kukuk4kikuk4ku,tempodotco
TeacherGodang,PDI_Perjuangan
ANDALASHUSNI,Metro_TV
akucintaistriku,Metro_TV
keepiin,tempodotco
baca_insights,Metro_TV
totoksuyoto1,PDI_Perjuangan
SatSetTasTes29,Metro_TV
Bims_D_Boy,Metro_TV
sosmed_ind,Metro_TV
LatifDodi49201,Metro_TV
ViralSejagat,KreatifsultanId
masdayenk91080,Metro_TV
StDoddyPrasety1,Metro_TV
P4nd4wa5,Metro_TV
zal_4d3k,tempodotco
akangroez,Metro_TV
jauhar_fikri,dpwpkbjabar
LembahArfak,temponewsroom
Seorangpejuang5,misserinaa88
SigitKusumanto,Metro_TV
Doddy19714254,Metro_TV
labibbenn,rendy_ricardo
DoddyIl,Metro_TV
andycha_syreena,Metro_TV
NOTASLIMBOY,ARSIPAJA
lil_marya,Metro_TV
caknoef,DPP_PKB
Laodewuna2,Metro_TV
labaduru_mau,Metro_TV
aribowosasmito,aribowosasmito
hazim_khabir,kisp_id
pandji,rendy_ricardo
FajarSa43628084,Metro_TV
ichsan_wardana,Metro_TV
JakartaRayaEC,Metro_TV
just_cross,DPP_PKB
tempodotco,tempodotco
dodok_jogja,combineri
PopyLgs,Metro_TV
abdurarsyad,buildingpeace_
taufik_ipul,watchdoc_ID
choymarkochoy,Metro_TV
anothercelaine,BPPMEQuilibrium
SantaPradana,TajukPolitik
TxtdariAtjeh,acehstudies
pdemokratkotatg,TajukPolitik
adtyo08,Metro_TV
EmHasanuddin,Metro_TV
HaqAbdulGani,DKPP_RI
ishagshafeeg,lensaRTV
warta_desa,combineri
himaelmuntaha,kisp_id
ryolandafit,CNNIndonesia
EndangSyam31,DPR_RI
BobbieTrussell,Moyne897
4DemocracyID,CNNIndonesia
bung_zulzaman,DKPP_RI
soecoeco,GreenpeaceID
RokiDlaw,kompascom
ajisektangen,kompascom
dipasarbelanja,kompascom
daningsiyu,kompascom
HaposanNaing8,kompascom
TiangAlit1010,kompascom
nnwa5393,SagunShahi
RareNft38350,saidkunang3
ujepkb,dpwpkbjabar
pld_sardina,dpwpkbjabar
helmi_stbd,kompascom
mumuk76,g_politik2024
SagunShahi,SagunShahi
perludem,Anfrel
johnreiner5,Anfrel
wijienarens,GreenpeaceID
DindaP1805,DiamTetap
Jisooislove0103,aniesbubble
bluberychis,aniesbubble
ekokusumawijaya,aniesbubble
SyaifulRijal_,aniesbubble
lihayatirizky,aniesbubble
indri_nastiti65,aniesbubble
midafternite,aniesbubble
LvLskrRncng57,aniesbubble
dapapayy,aniesbubble
onomsalam2pas,aniesbubble
yunusSantuy,aniesbubble
udangwinglok,aniesbubble
nurakhmadnova,aniesbubble
BosPurwa,aniesbubble
romzul,aniesbubble
Harun_M_Ishaq,aniesbubble
luakena,aniesbubble
RazakSabriah,aniesbubble
edogawa6564,aniesbubble
AnnaYellowHeart,aniesbubble
moejeep_pelung,aniesbubble
giegulali,aniesbubble
LeeM1neraL,aniesbubble
aniek26551407,aniesbubble
teazmee,aniesbubble
DunianyaBerita_,aniesbubble
Safitridede1,aniesbubble
azhariahrachman,aniesbubble
andri_wae1,aniesbubble
qu33niiee,aniesbubble
urzora,aniesbubble
gorgeoussthings,mentarisehari
bluetyh,aniesbubble
Rafell08,aniesbubble
Adell1ne,aniesbubble
tuchRoz_,aniesbubble
wiztothebit,aniesbubble
kmlhsadiyah,aniesbubble
orameluedan,tempodotco
moooelyadi,aniesmania
CEdojah,tempodotco
AprionoAka,aniesbubble
Leny50413807,Huesca_LaMagia
JennyLameanda,allucantwit
gginanb,detikcom
memedotid,allucantwit
NewsTomohon,allucantwit
shiningendey,allucantwit
politikinajah,allucantwit
CEdojah,aniesbubble
bluetyh,olpproject
SungguhUnik,allucantwit
gilardhanu,detikcom
HDFriza,tempodotco
R_Sunanto54,allucantwit
detikcom,detikjatengcom
PKSMuktiwari,PksKoreaSelatan
mer_anoto,Huesca_LaMagia
NSisin36053,rockygerungcom
Asrori150789808,jpnncom
ronavioleta,kabarbursacom
passingbymars,jejenjreng
mahjoong,jejenjreng
vaniIIablue_,jejenjreng
ORGANICSPINES1,jejenjreng
hollo_ow,jejenjreng
saladhxkben,jejenjreng
Etex_Bonxsay,tempodotco
hakunamatchata,jejenjreng
sbntrsayasapa,madarkham
edy10031976,bukanhoaxxx
winddliner,jejenjreng
navynaveee,madarkham
vouymousz,madarkham
abrar_granny,madarkham
ltflrs,bukanhoaxxx
BahamasJefry,kompascom
moenandhard,bukanhoaxxx
Rere_REkanRamE,bukanhoaxxx
sukma_nugraha,kompascom
SigitWasito8,bukanhoaxxx
edy10031976,holopiscom
LordCitayem,bukanhoaxxx
yoedidharma,kompascom
TrilaksonoGatot,bukanhoaxxx
hilalmultibiz,__whiteenle
Binar_Senja_87,8angSaid
bigvirgoshit_,kompascom
Pribumituan,8angSaid
DaengKolombo,8angSaid
adimas_markum,bukanhoaxxx
dien_fakhrudin,detikcom
Ziantozi,kompascom
teguh_009,bukanhoaxxx
ririnmanaba,bukanhoaxxx
Ganjar_Mahfud03,tnmuda
AaweRaja,detikcom
JanwesMilan,kompascom
evand_7dragon,bukanhoaxxx
delapandua10486,kompascom
barckq,bukanhoaxxx
YareY4r3Daze,tempodotco
solidaritykorjp,ariel_heryanto
Diditramahendra,bukanhoaxxx
Ganjar_Mahfud03,Ganjar_Mahfud03
MeldaaMei29,aniesbaswedan
hendrilucky6,aniesbaswedan
firman__nurhuda,pinterpolitik
Lauralaura858,tnmuda
_Bakemono,tempodotco
lateefgouri,fadjroeL
JOINLampung,detikcom
YulianaSaraya,bukanhoaxxx
Jhonata41282812,bukanhoaxxx
ahsan_wahid,republikaonline
NJunawar,detikcom
Arif24838483,bukanhoaxxx
singolodra1945,kompascom
agusmuk,Aryprasetyo85
nasaktion2,tempodotco
wbintoro101209,kompascom
rembol313,bukanhoaxxx
Qistinaqqhi,kompascom
KKKimsu,tempodotco
fadhli_ilyas,kompascom
Oedjhie2,detikcom
zainala66,kompascom
GimbalIswanto,indopos_id
PejuangKeluar15,8angSaid
rezalisni,tempodotco
Doddy19714254,detikcom
isthiswandy,kompascom
Hegie_bae,monitordaycom
gusdureen,republikaonline
3pHay,kompascom
m_natsirdmokrat,kompascom
didienAZHAR,tempodotco
WidiaWitje,bukanhoaxxx
Rikoharianto8,Metro_TV
didienAZHAR,netrayID
bengkeldodo,bengkeldodo
agpanka,KATADATAcoid
FaGtng,tempodotco
SasongkoInda,detikcom
Call_Me_Snake_,But1ran_Debu
Sanjeevpspk3,prime9news
NKRITetapDiHati,aewin86
AgustianaTian,cherforjo
iam_zelt,aewin86
Farm_1975,aewin86
samarchitect86,aewin86
Widiatis279,aewin86
Saliminbunyi_,aewin86
DMSFM_Ambon,dms_ambon
RenggaM37684672,aewin86
hendrikk168,aewin86
ariel_heryanto,EricssenWen
TransportasiRI,ThePhraseID
Politicx_,ElectoPanorama
Masdjodi1,dekade_08
HendroBatuayau,dekade_08
ggggggfrf3,dekade_08
mbienyambay2,FDonghun
ThamrinPa1000,dekade_08
mbienyambay2,dekade_08
GwynxAsh,dekade_08
gghhjjkk580dr0,dekade_08
gvfftj,dekade_08
Ipaahu,dekade_08
biihaw,tempodotco
SikkaNtt,dekade_08
xquitavee,bengkeldodo
Minietweets_,KEBUMENinLOVE
didik_lp,AmirDemokrat
DS_yantie,tempodotco
RizkiR4madani,3rwin__34
cocolatetwo,KEBUMENinLOVE
singolodra1945,KEBUMENinLOVE
Maruahalsiahaa2,dekade_08
s_mulyatie,tempodotco
LOVE_UM4M4,bengkeldodo
ernestprakasa,OPINI_id
Lembayung071,dekade_08
KEBUMENinLOVE,bengkeldodo
are_inismyname,bengkeldodo
are_inismyname,are_inismyname
NcangBeni,tempodotco
Kimberley_PS08,dekade_08
JoncyJonacta,tempodotco
jimmyherdyansy2,romoatheist
rendranila,tempodotco
KEBUMENinLOVE,KEBUMENinLOVE
adi_sareang,romoatheist
Dhani_R,tempodotco
bengkeldodo,dekade_08
kurniadji97,tempodotco
andi_chairil,tempodotco
msaid_didu,tempodotco
detikcom,detiksumut_
Arie_Kriting,amnestyindo
HasbyYusuf9,tempodotco
Kimberley_PS08,bengkeldodo
BlorengTheCat,akuratco
Dahnilanzar,dekade_08
febrofirdaus,tempodotco
bengkeldodo,KEBUMENinLOVE
donna_devos,anindyabakrie
Reiza_Patters,tempodotco
tagordirector,tempodotco
bengkeldodo,don_muzakir_
kamharlakumani,dekade_08
isari68,garudatvnews
Rosses1Black,kompascom
ariefbudiawan7,Kemhan_RI
neryssaazlan,1AmyChew
Arie_Kriting,Obimesak_Nbts
MamatAlkatiri,detikcom
Arie_Kriting,detikcom
Info_Ambon1,matamalukucom
analispolitik,DrLokmanKaradag
LBH_Jakarta,beritaKBR
dms_ambon,matamalukucom
KontraS,beritaKBR
dmkmtoday,ISEAS
Pradhana_Adi,ISEAS
PremeshaSaha,orfonline
MurrayHiebert1,ISEAS
jabinjacobt,DeccanHerald
